HIP id,Vmag,RA (deg),Dec (deg),Par(mas),(B-V),Sp class,,
934,9.04,2.89853096,-57.47238652,27.46,0.89,K1V,,
1085,9.05,3.37844842,-40.3583852,30,0.91,K1V,,
4454,9.12,14.26352093,69.04402238,41.45,1.02,K4V,,
6795,9.14,21.86346004,-25.93656338,24.14,0.86,K0V,,
5031,9.15,16.11080178,-2.36626356,25.48,0.8,G5,,
8881,9.15,28.59170233,-15.72364391,27.05,0.89,K2V,,
3998,9.22,12.84050486,18.7399011,45.71,1.19,K2,,
7018,9.41,22.6040915,-29.25940999,28.66,0.86,K0V,,
6639,9.48,21.29000636,-1.05897236,27.52,1.03,K5,,
3879,9.5,12.45094373,-54.59336435,35.95,1.16,K5V,,
4473,9.5,14.32691388,-62.24590709,51.66,1.3,K7V,,
5663,9.55,18.19186846,-25.23562704,45.4,1.27,K4V,,
2729,9.56,8.7128823,-61.91601812,21.78,1.05,K5V,,
1719,9.65,5.39830258,-66.47672144,23.22,0.83,,,
2540,9.65,8.06139856,-63.09101331,38.85,1.37,M0,,
5027,9.78,16.10072304,-25.60422804,38.99,1.19,K4/K5V,,
5763,9.82,18.49524148,16.49465738,32.62,1.22,K5,,
9788,9.83,31.45587015,30.78410257,34.78,1.17,K6,,
8987,9.86,28.95413022,-52.84090003,25.75,1.12,K4/K5V,,
1532,9.9,4.77326587,-9.96411989,48.17,1.32,K7V,,
428,9.95,1.29233645,45.78693438,86.98,1.47,M2,,
7228,10,23.28823888,-24.91381749,28.69,1.17,K2,,
5041,10.02,16.13435587,26.12014117,34.39,1.28,K5,,
5957,10.1,19.16283929,25.33172767,44.03,1.35,K5,,
6351,10.15,20.39010873,-41.65529478,59.29,1.38,K5,,
7829,10.16,25.18321792,-49.23205869,33.63,1.22,K5,,
9724,10.19,31.26683543,-17.61420901,105.94,1.51,M3,,
6414,10.3,20.595083,-33.21350931,37.1,1.29,,,
7554,10.39,24.33490489,-49.19594129,45.79,1.42,M:,,
8043,10.4,25.81504023,27.84218426,48.11,1.46,K0,,
1696,10.41,5.33150549,-45.74443728,55.68,1.48,M0,,
3008,10.48,9.56400804,52.33242473,43.4,1.42,M0,,
2120,10.52,6.72057388,70.14277688,61.39,1.46,M0,,
5369,10.56,17.1683127,17.24402032,35.99,1.26,K6,,
3261,10.58,10.37798776,-33.62495401,50.29,1.43,,,
2426,10.63,7.72954364,73.3704711,36.36,1.36,,,
4012,10.66,12.86707054,58.3010422,54.23,1.36,M2,,
687,10.73,2.11390101,17.42445447,45.64,1.46,M0,,
3813,10.76,12.25615885,-50.14439383,46.32,1.43,M2,,
1463,10.88,4.56912088,10.20286093,61.67,1.48,M0,,
9749,10.88,31.34762968,-28.07075687,44.37,1.4,K,,
1734,11.16,5.48333925,-31.40558641,54.91,1.49,M2V:,,
6005,11.31,19.31392861,-35.71547383,60.61,1.51,,,
4569,11.77,14.61282693,-27.85630511,76.32,1.56,,,
5643,12.1,18.12459256,-17.00053959,269.05,1.85,M5.5Ve,,
523,12.17,1.5787602,-65.83919547,56.92,1.55,M4,,
11644,6.5,02 30 13.6739,-25 11 11.462,9.39,0.294,DAn...,,
97394,10.32,19 47 40.5055,-42 00 26.041,9.11,-0.067,DB:p,,
50581,10.74,10 19 56.6337,-08 41 55.963,3.46,-0.098,DAe,,
80300,11.01,16 23 33.7799,-39 13 46.164,78.04,-0.165,DA,,
52181,11.21,10 39 36.7291,+43 06 09.472,2.74,-0.328,DA:,,
14754,11.39,03 10 30.9560,-68 36 02.478,98.5,0.025,DA,,
51280,11.49,10 28 27.2777,+05 48 56.908,27.24,1.413,DA:,,
57367,11.5,11 45 39.2635,-64 50 26.427,216.4,0.196,DC:,,
101516,11.53,20 34 22.1443,+25 03 54.683,67.65,-0.097,DA,,
115195,11.86,23 19 58.4044,-05 09 56.164,5.59,-0.331,DA:,,
23692,11.86,05 05 30.6057,+52 49 52.739,14.53,-0.34,DAw...,,
32560,12.06,06 47 38.1584,+37 31 05.278,64.91,-0.098,DAn,,
5355,12.23,01 08 26.7796,-32 43 11.645,1.08,-0.23,DA:,,
82257,12.24,16 48 25.4833,+59 03 25.267,91.13,0.16,DA,,
95071,12.28,19 20 34.9592,-07 39 58.648,89.08,0.07,DAw...,,
65877,12.31,13 30 14.2930,-08 34 25.331,55.5,0.026,DA,,
102207,12.38,20 42 34.5296,-20 04 35.091,47.39,-0.199,DAw,,
12031,12.41,02 35 07.5459,+03 43 56.750,13.44,-0.201,DAwe...,,
8709,12.44,01 52 02.9581,+47 00 05.582,63.08,0.17,DAs,,
56662,12.49,11 37 05.2036,+29 47 58.391,65.28,-0.072,DA,,
107968,12.74,21 52 25.3700,+02 23 22.207,39.84,-0.011,DA:,,
11650,12.79,02 30 16.5823,+05 15 50.906,41.15,-0.056,DA,,
66578,12.79,13 38 51.1726,+70 17 07.848,40.33,-0.112,DA:,,
